Date,4_Week_T_Bill_Rate,Daily_rf
2020-07-20,0.11,3.055690941389244e-06
2020-07-21,0.09,2.5000906294092573e-06
2020-07-22,0.09,2.5000906294092573e-06
2020-07-23,0.09,2.5000906294092573e-06
2020-07-24,0.1,2.777889666294442e-06
2020-07-27,0.1,2.777889666294442e-06
2020-07-28,0.09,2.5000906294092573e-06
2020-07-29,0.09,2.5000906294092573e-06
2020-07-30,0.1,2.777889666294442e-06
2020-07-31,0.09,2.5000906294092573e-06
2020-08-03,0.09,2.5000906294092573e-06
2020-08-04,0.09,2.5000906294092573e-06
2020-08-05,0.08,2.222293830289601e-06
2020-08-06,0.07,1.9444992689354734e-06
2020-08-07,0.08,2.222293830289601e-06
2020-08-10,0.09,2.5000906294092573e-06
2020-08-11,0.08,2.222293830289601e-06
2020-08-12,0.08,2.222293830289601e-06
2020-08-13,0.08,2.222293830289601e-06
2020-08-14,0.09,2.5000906294092573e-06
2020-08-17,0.09,2.5000906294092573e-06
2020-08-18,0.08,2.222293830289601e-06
2020-08-19,0.07,1.9444992689354734e-06
2020-08-20,0.08,2.222293830289601e-06
2020-08-21,0.07,1.9444992689354734e-06
2020-08-24,0.09,2.5000906294092573e-06
2020-08-25,0.08,2.222293830289601e-06
2020-08-26,0.07,1.9444992689354734e-06
2020-08-27,0.09,2.5000906294092573e-06
2020-08-28,0.09,2.5000906294092573e-06
2020-08-31,0.08,2.222293830289601e-06
2020-09-01,0.09,2.5000906294092573e-06
2020-09-02,0.1,2.777889666294442e-06
2020-09-03,0.1,2.777889666294442e-06
2020-09-04,0.09,2.5000906294092573e-06
2020-09-07,0.09,2.5000906294092573e-06
2020-09-08,0.1,2.777889666294442e-06
2020-09-09,0.1,2.777889666294442e-06
2020-09-10,0.1,2.777889666294442e-06
2020-09-11,0.1,2.777889666294442e-06
2020-09-14,0.1,2.777889666294442e-06
2020-09-15,0.09,2.5000906294092573e-06
2020-09-16,0.08,2.222293830289601e-06
2020-09-17,0.09,2.5000906294092573e-06
2020-09-18,0.09,2.5000906294092573e-06
2020-09-21,0.09,2.5000906294092573e-06
2020-09-22,0.08,2.222293830289601e-06
2020-09-23,0.08,2.222293830289601e-06
2020-09-24,0.08,2.222293830289601e-06
2020-09-25,0.08,2.222293830289601e-06
2020-09-28,0.09,2.5000906294092573e-06
2020-09-29,0.07,1.9444992689354734e-06
2020-09-30,0.08,2.222293830289601e-06
2020-10-01,0.09,2.5000906294092573e-06
2020-10-02,0.1,2.777889666294442e-06
2020-10-05,0.09,2.5000906294092573e-06
2020-10-06,0.08,2.222293830289601e-06
2020-10-07,0.08,2.222293830289601e-06
2020-10-08,0.09,2.5000906294092573e-06
2020-10-09,0.1,2.777889666294442e-06
2020-10-12,0.1,2.777889666294442e-06
2020-10-13,0.09,2.5000906294092573e-06
2020-10-14,0.1,2.777889666294442e-06
2020-10-15,0.1,2.777889666294442e-06
2020-10-16,0.09,2.5000906294092573e-06
2020-10-19,0.09,2.5000906294092573e-06
2020-10-20,0.08,2.222293830289601e-06
2020-10-21,0.08,2.222293830289601e-06
2020-10-22,0.09,2.5000906294092573e-06
2020-10-23,0.08,2.222293830289601e-06
2020-10-26,0.08,2.222293830289601e-06
2020-10-27,0.08,2.222293830289601e-06
2020-10-28,0.07,1.9444992689354734e-06
2020-10-29,0.08,2.222293830289601e-06
2020-10-30,0.08,2.222293830289601e-06
2020-11-02,0.09,2.5000906294092573e-06
2020-11-03,0.09,2.5000906294092573e-06
2020-11-04,0.08,2.222293830289601e-06
2020-11-05,0.09,2.5000906294092573e-06
2020-11-06,0.1,2.777889666294442e-06
2020-11-09,0.1,2.777889666294442e-06
2020-11-10,0.09,2.5000906294092573e-06
2020-11-11,0.09,2.5000906294092573e-06
2020-11-12,0.1,2.777889666294442e-06
2020-11-13,0.1,2.777889666294442e-06
2020-11-16,0.09,2.5000906294092573e-06
2020-11-17,0.08,2.222293830289601e-06
2020-11-18,0.07,1.9444992689354734e-06
2020-11-19,0.08,2.222293830289601e-06
2020-11-20,0.09,2.5000906294092573e-06
2020-11-23,0.08,2.222293830289601e-06
2020-11-24,0.08,2.222293830289601e-06
2020-11-25,0.07,1.9444992689354734e-06
2020-11-26,0.07,1.9444992689354734e-06
2020-11-27,0.09,2.5000906294092573e-06
2020-11-30,0.08,2.222293830289601e-06
2020-12-01,0.07,1.9444992689354734e-06
2020-12-02,0.07,1.9444992689354734e-06
2020-12-03,0.08,2.222293830289601e-06
2020-12-04,0.07,1.9444992689354734e-06
2020-12-07,0.09,2.5000906294092573e-06
2020-12-08,0.08,2.222293830289601e-06
2020-12-09,0.07,1.9444992689354734e-06
2020-12-10,0.07,1.9444992689354734e-06
2020-12-11,0.08,2.222293830289601e-06
2020-12-14,0.07,1.9444992689354734e-06
2020-12-15,0.07,1.9444992689354734e-06
2020-12-16,0.08,2.222293830289601e-06
2020-12-17,0.08,2.222293830289601e-06
2020-12-18,0.08,2.222293830289601e-06
2020-12-21,0.08,2.222293830289601e-06
2020-12-22,0.06,1.6667069457909633e-06
2020-12-23,0.07,1.9444992689354734e-06
2020-12-24,0.09,2.5000906294092573e-06
2020-12-25,0.09,2.5000906294092573e-06
2020-12-28,0.09,2.5000906294092573e-06
2020-12-29,0.08,2.222293830289601e-06
2020-12-30,0.06,1.6667069457909633e-06
2020-12-31,0.08,2.222293830289601e-06
2021-01-01,0.08,2.222293830289601e-06
2021-01-04,0.09,2.5000906294092573e-06
2021-01-05,0.08,2.222293830289601e-06
2021-01-06,0.09,2.5000906294092573e-06
2021-01-07,0.09,2.5000906294092573e-06
2021-01-08,0.08,2.222293830289601e-06
2021-01-11,0.09,2.5000906294092573e-06
2021-01-12,0.09,2.5000906294092573e-06
2021-01-13,0.09,2.5000906294092573e-06
2021-01-14,0.09,2.5000906294092573e-06
2021-01-15,0.08,2.222293830289601e-06
2021-01-18,0.08,2.222293830289601e-06
2021-01-19,0.07,1.9444992689354734e-06
2021-01-20,0.08,2.222293830289601e-06
2021-01-21,0.07,1.9444992689354734e-06
2021-01-22,0.07,1.9444992689354734e-06
2021-01-25,0.07,1.9444992689354734e-06
2021-01-26,0.05,1.3889168604119817e-06
2021-01-27,0.05,1.3889168604119817e-06
2021-01-28,0.05,1.3889168604119817e-06
2021-01-29,0.07,1.9444992689354734e-06
2021-02-01,0.06,1.6667069457909633e-06
2021-02-02,0.04,1.1111290127985285e-06
2021-02-03,0.03,8.333434029506037e-07
2021-02-04,0.03,8.333434029506037e-07
2021-02-05,0.02,5.555600308682074e-07
2021-02-08,0.04,1.1111290127985285e-06
2021-02-09,0.04,1.1111290127985285e-06
2021-02-10,0.05,1.3889168604119817e-06
2021-02-11,0.05,1.3889168604119817e-06
2021-02-12,0.03,8.333434029506037e-07
2021-02-15,0.03,8.333434029506037e-07
2021-02-16,0.03,8.333434029506037e-07
2021-02-17,0.03,8.333434029506037e-07
2021-02-18,0.03,8.333434029506037e-07
2021-02-19,0.03,8.333434029506037e-07
2021-02-22,0.03,8.333434029506037e-07
2021-02-23,0.03,8.333434029506037e-07
2021-02-24,0.03,8.333434029506037e-07
2021-02-25,0.04,1.1111290127985285e-06
2021-02-26,0.04,1.1111290127985285e-06
2021-03-01,0.03,8.333434029506037e-07
2021-03-02,0.04,1.1111290127985285e-06
2021-03-03,0.04,1.1111290127985285e-06
2021-03-04,0.03,8.333434029506037e-07
2021-03-05,0.04,1.1111290127985285e-06
2021-03-08,0.04,1.1111290127985285e-06
2021-03-09,0.04,1.1111290127985285e-06
2021-03-10,0.03,8.333434029506037e-07
2021-03-11,0.04,1.1111290127985285e-06
2021-03-12,0.03,8.333434029506037e-07
2021-03-15,0.02,5.555600308682074e-07
2021-03-16,0.01,2.7777889655133947e-07
2021-03-17,0.01,2.7777889655133947e-07
2021-03-18,0.01,2.7777889655133947e-07
2021-03-19,0.01,2.7777889655133947e-07
2021-03-22,0.02,5.555600308682074e-07
2021-03-23,0.02,5.555600308682074e-07
2021-03-24,0.02,5.555600308682074e-07
2021-03-25,0.02,5.555600308682074e-07
2021-03-26,0.02,5.555600308682074e-07
2021-03-29,0.02,5.555600308682074e-07
2021-03-30,0.01,2.7777889655133947e-07
2021-03-31,0.01,2.7777889655133947e-07
2021-04-01,0.02,5.555600308682074e-07
2021-04-02,0.02,5.555600308682074e-07
2021-04-05,0.03,8.333434029506037e-07
2021-04-06,0.02,5.555600308682074e-07
2021-04-07,0.01,2.7777889655133947e-07
2021-04-08,0.02,5.555600308682074e-07
2021-04-09,0.02,5.555600308682074e-07
2021-04-12,0.02,5.555600308682074e-07
2021-04-13,0.03,8.333434029506037e-07
2021-04-14,0.02,5.555600308682074e-07
2021-04-15,0.02,5.555600308682074e-07
2021-04-16,0.02,5.555600308682074e-07
2021-04-19,0.01,2.7777889655133947e-07
2021-04-20,0.01,2.7777889655133947e-07
2021-04-21,0.0,0.0
2021-04-22,0.02,5.555600308682074e-07
2021-04-23,0.01,2.7777889655133947e-07
2021-04-26,0.02,5.555600308682074e-07
2021-04-27,0.01,2.7777889655133947e-07
2021-04-28,0.01,2.7777889655133947e-07
2021-04-29,0.01,2.7777889655133947e-07
2021-04-30,0.01,2.7777889655133947e-07
2021-05-03,0.02,5.555600308682074e-07
2021-05-04,0.01,2.7777889655133947e-07
2021-05-05,0.01,2.7777889655133947e-07
2021-05-06,0.01,2.7777889655133947e-07
2021-05-07,0.01,2.7777889655133947e-07
2021-05-10,0.02,5.555600308682074e-07
2021-05-11,0.01,2.7777889655133947e-07
2021-05-12,0.01,2.7777889655133947e-07
2021-05-13,0.0,0.0
2021-05-14,0.01,2.7777889655133947e-07
2021-05-17,0.0,0.0
2021-05-18,0.0,0.0
2021-05-19,0.0,0.0
2021-05-20,0.01,2.7777889655133947e-07
2021-05-21,0.0,0.0
2021-05-24,0.01,2.7777889655133947e-07
2021-05-25,0.01,2.7777889655133947e-07
2021-05-26,0.0,0.0
2021-05-27,0.0,0.0
2021-05-28,0.01,2.7777889655133947e-07
2021-05-31,0.01,2.7777889655133947e-07
2021-06-01,0.01,2.7777889655133947e-07
2021-06-02,0.01,2.7777889655133947e-07
2021-06-03,0.0,0.0
2021-06-04,0.01,2.7777889655133947e-07
2021-06-07,0.01,2.7777889655133947e-07
2021-06-08,0.01,2.7777889655133947e-07
2021-06-09,0.01,2.7777889655133947e-07
2021-06-10,0.01,2.7777889655133947e-07
2021-06-11,0.01,2.7777889655133947e-07
2021-06-14,0.01,2.7777889655133947e-07
2021-06-15,0.02,5.555600308682074e-07
2021-06-16,0.04,1.1111290127985285e-06
2021-06-17,0.05,1.3889168604119817e-06
2021-06-18,0.05,1.3889168604119817e-06
2021-06-21,0.04,1.1111290127985285e-06
2021-06-22,0.04,1.1111290127985285e-06
2021-06-23,0.04,1.1111290127985285e-06
2021-06-24,0.05,1.3889168604119817e-06
2021-06-25,0.05,1.3889168604119817e-06
2021-06-28,0.04,1.1111290127985285e-06
2021-06-29,0.04,1.1111290127985285e-06
2021-06-30,0.05,1.3889168604119817e-06
2021-07-01,0.05,1.3889168604119817e-06
2021-07-02,0.05,1.3889168604119817e-06
2021-07-05,0.05,1.3889168604119817e-06
2021-07-06,0.05,1.3889168604119817e-06
2021-07-07,0.05,1.3889168604119817e-06
2021-07-08,0.06,1.6667069457909633e-06
2021-07-09,0.06,1.6667069457909633e-06
2021-07-12,0.05,1.3889168604119817e-06
2021-07-13,0.05,1.3889168604119817e-06
2021-07-14,0.06,1.6667069457909633e-06
2021-07-15,0.05,1.3889168604119817e-06
2021-07-16,0.05,1.3889168604119817e-06
2021-07-19,0.05,1.3889168604119817e-06
2021-07-20,0.05,1.3889168604119817e-06
2021-07-21,0.04,1.1111290127985285e-06
2021-07-22,0.04,1.1111290127985285e-06
2021-07-23,0.05,1.3889168604119817e-06
2021-07-26,0.05,1.3889168604119817e-06
2021-07-27,0.04,1.1111290127985285e-06
2021-07-28,0.04,1.1111290127985285e-06
2021-07-29,0.05,1.3889168604119817e-06
2021-07-30,0.05,1.3889168604119817e-06
2021-08-02,0.05,1.3889168604119817e-06
2021-08-03,0.05,1.3889168604119817e-06
2021-08-04,0.05,1.3889168604119817e-06
2021-08-05,0.05,1.3889168604119817e-06
2021-08-06,0.04,1.1111290127985285e-06
2021-08-09,0.04,1.1111290127985285e-06
2021-08-10,0.05,1.3889168604119817e-06
2021-08-11,0.05,1.3889168604119817e-06
2021-08-12,0.05,1.3889168604119817e-06
2021-08-13,0.04,1.1111290127985285e-06
2021-08-16,0.04,1.1111290127985285e-06
2021-08-17,0.03,8.333434029506037e-07
2021-08-18,0.03,8.333434029506037e-07
2021-08-19,0.04,1.1111290127985285e-06
2021-08-20,0.04,1.1111290127985285e-06
2021-08-23,0.04,1.1111290127985285e-06
2021-08-24,0.03,8.333434029506037e-07
2021-08-25,0.04,1.1111290127985285e-06
2021-08-26,0.04,1.1111290127985285e-06
2021-08-27,0.04,1.1111290127985285e-06
2021-08-30,0.04,1.1111290127985285e-06
2021-08-31,0.03,8.333434029506037e-07
2021-09-01,0.04,1.1111290127985285e-06
2021-09-02,0.05,1.3889168604119817e-06
2021-09-03,0.04,1.1111290127985285e-06
2021-09-06,0.04,1.1111290127985285e-06
2021-09-07,0.04,1.1111290127985285e-06
2021-09-08,0.05,1.3889168604119817e-06
2021-09-09,0.07,1.9444992689354734e-06
2021-09-10,0.06,1.6667069457909633e-06
2021-09-13,0.06,1.6667069457909633e-06
2021-09-14,0.05,1.3889168604119817e-06
2021-09-15,0.04,1.1111290127985285e-06
2021-09-16,0.06,1.6667069457909633e-06
2021-09-17,0.06,1.6667069457909633e-06
2021-09-20,0.06,1.6667069457909633e-06
2021-09-21,0.05,1.3889168604119817e-06
2021-09-22,0.04,1.1111290127985285e-06
2021-09-23,0.05,1.3889168604119817e-06
2021-09-24,0.06,1.6667069457909633e-06
2021-09-27,0.06,1.6667069457909633e-06
2021-09-28,0.07,1.9444992689354734e-06
2021-09-29,0.05,1.3889168604119817e-06
2021-09-30,0.07,1.9444992689354734e-06
2021-10-01,0.08,2.222293830289601e-06
2021-10-04,0.1,2.777889666294442e-06
2021-10-05,0.11,3.055690941389244e-06
2021-10-06,0.06,1.6667069457909633e-06
2021-10-07,0.03,8.333434029506037e-07
2021-10-08,0.02,5.555600308682074e-07
2021-10-11,0.02,5.555600308682074e-07
2021-10-12,0.02,5.555600308682074e-07
2021-10-13,0.02,5.555600308682074e-07
2021-10-14,0.05,1.3889168604119817e-06
2021-10-15,0.04,1.1111290127985285e-06
2021-10-18,0.04,1.1111290127985285e-06
2021-10-19,0.05,1.3889168604119817e-06
2021-10-20,0.05,1.3889168604119817e-06
2021-10-21,0.06,1.6667069457909633e-06
2021-10-22,0.05,1.3889168604119817e-06
2021-10-25,0.06,1.6667069457909633e-06
2021-10-26,0.06,1.6667069457909633e-06
2021-10-27,0.06,1.6667069457909633e-06
2021-10-28,0.06,1.6667069457909633e-06
2021-10-29,0.06,1.6667069457909633e-06
2021-11-01,0.05,1.3889168604119817e-06
2021-11-02,0.05,1.3889168604119817e-06
2021-11-03,0.05,1.3889168604119817e-06
2021-11-04,0.05,1.3889168604119817e-06
2021-11-05,0.05,1.3889168604119817e-06
2021-11-08,0.04,1.1111290127985285e-06
2021-11-09,0.04,1.1111290127985285e-06
2021-11-10,0.06,1.6667069457909633e-06
2021-11-11,0.06,1.6667069457909633e-06
2021-11-12,0.05,1.3889168604119817e-06
2021-11-15,0.06,1.6667069457909633e-06
2021-11-16,0.06,1.6667069457909633e-06
2021-11-17,0.06,1.6667069457909633e-06
2021-11-18,0.12,3.333494454693664e-06
2021-11-19,0.11,3.055690941389244e-06
2021-11-22,0.07,1.9444992689354734e-06
2021-11-23,0.06,1.6667069457909633e-06
2021-11-24,0.14,3.889108195265223e-06
2021-11-25,0.14,3.889108195265223e-06
2021-11-26,0.11,3.055690941389244e-06
2021-11-29,0.07,1.9444992689354734e-06
2021-11-30,0.11,3.055690941389244e-06
2021-12-01,0.1,2.777889666294442e-06
2021-12-02,0.05,1.3889168604119817e-06
2021-12-03,0.04,1.1111290127985285e-06
2021-12-06,0.05,1.3889168604119817e-06
2021-12-07,0.05,1.3889168604119817e-06
2021-12-08,0.04,1.1111290127985285e-06
2021-12-09,0.03,8.333434029506037e-07
2021-12-10,0.03,8.333434029506037e-07
2021-12-13,0.01,2.7777889655133947e-07
2021-12-14,0.01,2.7777889655133947e-07
2021-12-15,0.03,8.333434029506037e-07
2021-12-16,0.04,1.1111290127985285e-06
2021-12-17,0.03,8.333434029506037e-07
2021-12-20,0.03,8.333434029506037e-07
2021-12-21,0.03,8.333434029506037e-07
2021-12-22,0.03,8.333434029506037e-07
2021-12-23,0.04,1.1111290127985285e-06
2021-12-24,0.04,1.1111290127985285e-06
2021-12-27,0.04,1.1111290127985285e-06
2021-12-28,0.03,8.333434029506037e-07
2021-12-29,0.01,2.7777889655133947e-07
2021-12-30,0.06,1.6667069457909633e-06
2021-12-31,0.06,1.6667069457909633e-06
2022-01-03,0.05,1.3889168604119817e-06
2022-01-04,0.06,1.6667069457909633e-06
2022-01-05,0.05,1.3889168604119817e-06
2022-01-06,0.04,1.1111290127985285e-06
2022-01-07,0.05,1.3889168604119817e-06
2022-01-10,0.05,1.3889168604119817e-06
2022-01-11,0.04,1.1111290127985285e-06
2022-01-12,0.04,1.1111290127985285e-06
2022-01-13,0.05,1.3889168604119817e-06
2022-01-14,0.05,1.3889168604119817e-06
2022-01-17,0.05,1.3889168604119817e-06
2022-01-18,0.05,1.3889168604119817e-06
2022-01-19,0.05,1.3889168604119817e-06
2022-01-20,0.05,1.3889168604119817e-06
2022-01-21,0.05,1.3889168604119817e-06
2022-01-24,0.05,1.3889168604119817e-06
2022-01-25,0.05,1.3889168604119817e-06
2022-01-26,0.05,1.3889168604119817e-06
2022-01-27,0.04,1.1111290127985285e-06
2022-01-28,0.04,1.1111290127985285e-06
2022-01-31,0.03,8.333434029506037e-07
2022-02-01,0.04,1.1111290127985285e-06
2022-02-02,0.04,1.1111290127985285e-06
2022-02-03,0.03,8.333434029506037e-07
2022-02-04,0.05,1.3889168604119817e-06
2022-02-07,0.03,8.333434029506037e-07
2022-02-08,0.03,8.333434029506037e-07
2022-02-09,0.03,8.333434029506037e-07
2022-02-10,0.05,1.3889168604119817e-06
2022-02-11,0.03,8.333434029506037e-07
2022-02-14,0.03,8.333434029506037e-07
2022-02-15,0.02,5.555600308682074e-07
2022-02-16,0.03,8.333434029506037e-07
2022-02-17,0.06,1.6667069457909633e-06
2022-02-18,0.03,8.333434029506037e-07
2022-02-21,0.03,8.333434029506037e-07
2022-02-22,0.03,8.333434029506037e-07
2022-02-23,0.02,5.555600308682074e-07
2022-02-24,0.05,1.3889168604119817e-06
2022-02-25,0.03,8.333434029506037e-07
2022-02-28,0.06,1.6667069457909633e-06
2022-03-01,0.1,2.777889666294442e-06
2022-03-02,0.12,3.333494454693664e-06
2022-03-03,0.19,5.278181714807317e-06
2022-03-04,0.15,4.1669184227544065e-06
2022-03-07,0.17,4.722545592361627e-06
2022-03-08,0.15,4.1669184227544065e-06
2022-03-09,0.17,4.722545592361627e-06
2022-03-10,0.19,5.278181714807317e-06
2022-03-11,0.17,4.722545592361627e-06
2022-03-14,0.22,6.111652686380253e-06
2022-03-15,0.21,5.8338267907576125e-06
2022-03-16,0.23,6.389480820212512e-06
2022-03-17,0.2,5.556003133566634e-06
2022-03-18,0.19,5.278181714807317e-06
2022-03-21,0.21,5.8338267907576125e-06
2022-03-22,0.2,5.556003133566634e-06
2022-03-23,0.14,3.889108195265223e-06
2022-03-24,0.16,4.444730888453208e-06
2022-03-25,0.17,4.722545592361627e-06
2022-03-28,0.18,5.000362534479663e-06
2022-03-29,0.17,4.722545592361627e-06
2022-03-30,0.13,3.611300205985657e-06
2022-03-31,0.17,4.722545592361627e-06
2022-04-01,0.15,4.1669184227544065e-06
2022-04-04,0.17,4.722545592361627e-06
2022-04-05,0.17,4.722545592361627e-06
2022-04-06,0.19,5.278181714807317e-06
2022-04-07,0.21,5.8338267907576125e-06
2022-04-08,0.2,5.556003133566634e-06
2022-04-11,0.21,5.8338267907576125e-06
2022-04-12,0.19,5.278181714807317e-06
2022-04-13,0.23,6.389480820212512e-06
2022-04-14,0.37,1.0279309751393129e-05
2022-04-15,0.37,1.0279309751393129e-05
2022-04-18,0.37,1.0279309751393129e-05
2022-04-19,0.35,9.723593038746259e-06
2022-04-20,0.33,9.167885281602395e-06
2022-04-21,0.5,1.389168669518881e-05
2022-04-22,0.46,1.2780145790980413e-05
2022-04-25,0.39,1.0835035419765049e-05
2022-04-26,0.36,1.0001450275520796e-05
2022-04-27,0.35,9.723593038746259e-06
2022-04-28,0.37,1.0279309751393129e-05
2022-04-29,0.37,1.0279309751393129e-05
2022-05-02,0.38,1.0557171466141213e-05
2022-05-03,0.44,1.2224388774795258e-05
2022-05-04,0.45,1.2502266163227915e-05
2022-05-05,0.49,1.3613798109934905e-05
2022-05-06,0.48,1.333591176444493e-05
2022-05-09,0.49,1.3613798109934905e-05
2022-05-10,0.55,1.528116321258821e-05
2022-05-11,0.56,1.5559065234871383e-05
2022-05-12,0.6,1.6670695720311102e-05
2022-05-13,0.66,1.8338208642720843e-05
2022-05-16,0.62,1.722652440161454e-05
2022-05-17,0.58,1.6114875998285427e-05
2022-05-18,0.5,1.389168669518881e-05
