signal_method,position_sizing,drift_days,sigma_prior,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,win_loss,sharpe_ci_low,sharpe_ci_high,ann_alpha,alpha_t,alpha_p,beta,beta_t,beta_p,n
default,equal,29,0.02,0.17089352058816165,0.19198520312265668,0.7470740130292297,1.2387154739228412,-0.21412462717595726,0.7981030619505977,0.5620641562064156,1.159952253286096,-0.052900487304005164,1.8583267943745672,-0.032272262377685226,-0.4267683180526663,0.6696672231117975,0.7057595007679509,29.353983448993567,0.0,773
shadow_sell,equal,45,0.05,0.1549560004096613,0.18129276390561208,0.7054426698903119,1.1362705356687004,-0.19564051378303837,0.7920445382877319,0.5515743756786102,1.1353513877073242,-0.03904078649223003,1.8383768012017783,-0.04647907895072572,-0.7414803943894522,0.4586234139958947,0.7277477538013337,36.477670948137416,0.0,789
shadow_sell,equal,45,0.02,0.1549560004096613,0.18129276390561208,0.7054426698903119,1.1362705356687004,-0.19564051378303837,0.7920445382877319,0.5515743756786102,1.1353513877073242,-0.03904078649223003,1.8383768012017783,-0.04647907895072572,-0.7414803943894522,0.4586234139958947,0.7277477538013337,36.477670948137416,0.0,789
default,equal,45,0.05,0.1595567163946916,0.19030974484961932,0.701682829003378,1.1295309684538692,-0.1994457376991451,0.8000006329309264,0.5586907449209932,1.147293837203851,-0.05700463849890876,1.8210367240388399,-0.054266159525097175,-0.864067569556035,0.38781404289472965,0.7838098001482665,39.21329858177882,0.0,789
default,equal,45,0.02,0.1595567163946916,0.19030974484961932,0.701682829003378,1.1295309684538692,-0.1994457376991451,0.8000006329309264,0.5586907449209932,1.147293837203851,-0.05700463849890876,1.8210367240388399,-0.054266159525097175,-0.864067569556035,0.38781404289472965,0.7838098001482665,39.21329858177882,0.0,789
shadow_sell,equal,29,0.02,0.14973581870109554,0.18126893731610488,0.679562592073933,1.127220560277157,-0.19429685477585368,0.7706548769090215,0.5522788203753352,1.136785135260788,-0.0973349257446724,1.8078212267620024,-0.02632522252339442,-0.33520854568610187,0.7375589585168609,0.6005556871393067,24.051594168007863,0.0,773
default,signal_weight,29,0.02,0.15269229611274082,0.189883269466812,0.6707212060142705,1.106888402793391,-0.22203401495568476,0.6876977662328735,0.5620641562064156,1.1294425903159946,-0.1280893863809884,1.7962161677026267,-0.047893053242222754,-0.646540985558865,0.5181214743531164,0.7039538672749291,29.889268580768523,0.0,773
shadow_sell,signal_weight,29,0.02,0.1468377933164542,0.18625879353044208,0.6527689935178755,1.0762545966160062,-0.21593621617335657,0.6800054012179726,0.5522788203753352,1.156044789000461,-0.14324848078114666,1.7804329846652518,-0.04628662414182161,-0.6205488595873585,0.5350798799897258,0.6743048912696646,28.43310814395367,0.0,773
default,signal_weight,45,0.02,0.14515162908466128,0.18764538873805223,0.6424470291357852,1.0210994558435191,-0.1924830880802334,0.7541006876622699,0.5586907449209932,1.1225999523611903,-0.1087030515866654,1.761322392680047,-0.06624282484144321,-1.0886266894554237,0.2766517917041642,0.7795956232529309,40.25442194068636,0.0,789
default,signal_weight,45,0.05,0.14515162908466128,0.18764538873805223,0.6424470291357852,1.0210994558435191,-0.1924830880802334,0.7541006876622699,0.5586907449209932,1.1225999523611903,-0.1087030515866654,1.761322392680047,-0.06624282484144321,-1.0886266894554237,0.2766517917041642,0.7795956232529309,40.25442194068636,0.0,789
shadow_sell,signal_weight,45,0.05,0.1436961328560975,0.18494739862505563,0.6422330719074797,1.0200443956561567,-0.19139309755630607,0.750790570249397,0.5515743756786102,1.1432229774925868,-0.10624355220544714,1.766660568600302,-0.06423952776099251,-1.0583165867190036,0.290235853166281,0.7638352033540825,39.53820983683335,0.0,789
shadow_sell,signal_weight,45,0.02,0.1436961328560975,0.18494739862505563,0.6422330719074797,1.0200443956561567,-0.19139309755630607,0.750790570249397,0.5515743756786102,1.1432229774925868,-0.10624355220544714,1.766660568600302,-0.06423952776099251,-1.0583165867190036,0.290235853166281,0.7638352033540825,39.53820983683335,0.0,789
default,equal,29,0.05,0.1276719987254782,0.1984916025089603,0.539392097166604,0.8766014157416576,-0.23896188918459327,0.5342776589234869,0.5610510046367851,1.1349761148293989,-0.23859129143567231,1.6525451601805212,-0.059512773649524904,-0.7336438366669901,0.4633906066541287,0.7079832900229384,27.39570391871208,0.0,767
shadow_sell,equal,21,0.02,0.11973942144450289,0.18991738361829125,0.5172121496045997,0.8831489173688533,-0.2896877171215292,0.41333965635232667,0.5538881309686221,1.0392253643108034,-0.2352203937460849,1.6265698236011414,-0.048224567019341816,-0.5515340497340733,0.5814291131446871,0.5763956472706363,20.79034342465046,0.0,765
shadow_sell,equal,21,0.05,0.1069026667480506,0.18297935155816566,0.4667660013956689,0.7982922920993013,-0.2969594884302633,0.3599907425525996,0.5479651162790697,1.0272458123725776,-0.2976724487404081,1.6008262243140425,-0.051644888343228675,-0.6034631464336545,0.5463799739672934,0.5393992078842054,19.87790875679128,0.0,765
default,signal_weight,29,0.05,0.1087278009543804,0.19619160260999494,0.45706429680372057,0.7371849030957798,-0.2451781138678979,0.44346454599517393,0.5610510046367851,1.1072891571754562,-0.31477184744188774,1.577427268116381,-0.07584030195323875,-0.9508137309819286,0.3419992327416508,0.7034497392597417,27.682979994489028,0.0,767
shadow_sell,equal,45,0.1,0.10230332773901885,0.17725050720182173,0.4541175649025026,0.7097949570265444,-0.2169733686902362,0.47150177165324386,0.547244094488189,1.1160318284726152,-0.3044202551792902,1.5670050994007072,-0.07684761525104244,-1.2028113888806882,0.22941382578797076,0.6957491805368962,34.14862778031143,0.0,783
shadow_sell,equal,29,0.05,0.1033005285800539,0.1872573146889767,0.44342559338963605,0.7201194132682678,-0.22937964272839506,0.450347412487561,0.5504451038575667,1.1156731764329382,-0.33115781175964165,1.553779603304699,-0.05964230483416619,-0.7197785674321538,0.47188118097145026,0.6063986071048385,22.971378729193237,0.0,767
shadow_sell,signal_weight,21,0.02,0.10635973732440274,0.2059189434430835,0.4337139122197679,0.7396536180366016,-0.3376677448568788,0.3149834088224315,0.5538881309686221,1.0478329030441678,-0.33465962622619455,1.524769224971659,-0.09043975914582233,-1.0404864005243881,0.29844356459644406,0.7074367064953554,25.668564382352994,0.0,765
