signal_method,position_sizing,drift_days,sigma_prior,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,win_loss,sharpe_ci_low,sharpe_ci_high,ann_alpha,alpha_t,alpha_p,beta,beta_t,beta_p,n
shadow_sell,equal,45,0.2,0.09157817119366474,0.1918138734765322,0.3822899961069758,0.6247350260534508,-0.22744734249008614,0.4026346062832385,0.5423728813559322,1.1686903483378086,-0.36096957037308386,1.4762977773163342,-0.07521131664534547,-0.9387265403655296,0.3481617504351784,0.6609584831734198,25.882802074582315,0.0,782
default,signal_weight,45,0.3,0.09016604328258238,0.19841279604164727,0.3696199072652923,0.597986269874796,-0.2256456620611359,0.399591299291865,0.537712895377129,1.156275040939715,-0.37499075264286996,1.4683752052192824,-0.06934627121393638,-0.7912599866646832,0.42903282854942293,0.6349029381613865,22.72922524814309,0.0,782
shadow_sell,equal,29,0.1,0.08748595760403277,0.18788475481619007,0.36573775032846517,0.5921297957781146,-0.23055964820764874,0.37945042978743776,0.5413533834586466,1.1682185118637725,-0.41632840131851934,1.4774122009568975,-0.09023635920300058,-1.184679478757031,0.23651211293544705,0.6755665362879612,27.840164984532606,0.0,767
default,equal,21,0.1,0.08872912593302495,0.2052597699054521,0.35599806372587467,0.5956150318292642,-0.3206856951724595,0.27668563727268186,0.5384615384615384,1.096727036522297,-0.4286768377322793,1.4243407019812306,-0.10299627888579989,-1.2254428202431167,0.22078954693591046,0.7326550293876365,27.437840381542852,0.0,759
shadow_sell,signal_weight,21,0.1,0.08532105387562239,0.196550153958555,0.3471667931671385,0.5764196334710231,-0.31017637548660526,0.2750727025608271,0.5368098159509203,1.0861535269313727,-0.4243669818833896,1.4403884466215353,-0.09824617037374238,-1.2058771232233836,0.22824163689249244,0.6927614442158126,26.763937525303028,0.0,759
default,equal,29,0.2,0.08666127534070633,0.20952825493183833,0.34478657555857667,0.5481967319772988,-0.3118315975763246,0.277910500456885,0.5286259541984732,1.1660470046878124,-0.46085868986207873,1.4436714613585093,-0.09726095733138145,-1.1132507120311734,0.2659518175594009,0.731802494875034,26.335624637466488,0.0,764
default,signal_weight,29,0.1,0.08278711359490543,0.19734003264466538,0.3355504875326362,0.5378105493765132,-0.2671642303748084,0.30987349421276283,0.5482866043613707,1.1574829402957463,-0.44812645269616225,1.461458749932299,-0.11409244854579625,-1.5640596073905833,0.11821712115029781,0.7663327032971556,32.97601208481375,0.0,767
default,signal_weight,21,0.1,0.08334179683937903,0.20351716143629262,0.33295332844431585,0.5547128935203465,-0.3237215033851063,0.25744906028140424,0.5384615384615384,1.088718167509447,-0.44836807727205497,1.4061799092370926,-0.10830476705826664,-1.310890310698356,0.19029235152892587,0.7326456188607057,27.912042046872116,0.0,759
shadow_sell,signal_weight,29,0.1,0.07926188866228068,0.19332634059012205,0.32158891738838663,0.5154353329005622,-0.2587206551400546,0.30636088417205587,0.5413533834586466,1.175970772037843,-0.4602016996621356,1.4454653079805022,-0.11167729066309856,-1.5290078762393313,0.12667585517464341,0.7388718391768492,31.753992820507225,0.0,767
shadow_sell,equal,21,0.2,0.06875871487753593,0.1776436557781318,0.27836413343355104,0.4361056041222016,-0.2640777203232244,0.26037302500709647,0.5355086372360844,1.1471756084508695,-0.46166128611949425,1.4205619864596875,-0.08570129403118794,-1.0701307225835244,0.284901557067597,0.5623870536423327,22.103631944962004,0.0,759
default,signal_weight,29,0.2,0.0650587232451656,0.20350630730243446,0.2502668905996936,0.39259596822772563,-0.31291667004806356,0.2079106978710104,0.5286259541984732,1.1269834028571417,-0.5575631606111243,1.3632494274043319,-0.11507649284251321,-1.3666309439498832,0.17214410372652522,0.7167027248994763,26.760793347997744,0.0,764
shadow_sell,signal_weight,21,0.2,0.05533127941364402,0.1888447283243597,0.20559004282851961,0.3264844228758872,-0.2993493743383072,0.1848384668782098,0.5355086372360844,1.1689271783349493,-0.5447252959097004,1.3190334893636249,-0.12740296916913038,-1.692890142334585,0.09088783025547054,0.6917009076521573,28.92986753534319,0.0,759
shadow_sell,equal,29,0.2,0.05405912430481563,0.19152014070018952,0.19948521874284977,0.31283990379909354,-0.29028539243915075,0.18622750476894023,0.5191956124314442,1.1441379137840904,-0.5732375005939353,1.3160795411981177,-0.10715613065017057,-1.2731151533803147,0.20336493299328562,0.6266910990110697,23.394947152557,0.0,765
shadow_sell,signal_weight,29,0.2,0.04851098568739842,0.19722467013936218,0.17259424787527866,0.2680039543628203,-0.31175659387573507,0.15560532364147753,0.5191956124314442,1.1526234541306006,-0.5992048176134916,1.2931236604434109,-0.1251643932886496,-1.517201379365707,0.1296300418614158,0.6863674511011567,26.141890326997853,0.0,765
default,signal_weight,21,0.2,0.034137435457335163,0.1971822291080926,0.10269376768305251,0.15905199253543476,-0.27734765407010875,0.12308535859728528,0.548235294117647,1.157614314362845,-0.6785461796009403,1.2236845437843156,-0.1464632621225148,-1.7208328012954859,0.08568710565475968,0.6592110586680385,24.440856908028874,0.0,764
default,equal,21,0.2,0.026639678431158442,0.19637240541528939,0.06526519463277877,0.10061635764256062,-0.271124225140969,0.09825635616775794,0.548235294117647,1.158331085598316,-0.7089186162198001,1.1947154769534098,-0.15257145099237343,-1.7945842869413213,0.07311621248809974,0.6539739372952074,24.273533228677355,0.0,764
default,signal_weight,21,0.3,0.014962789478737193,0.2261441232183291,0.03389260071638997,0.05196255442951208,-0.3664020979977255,0.04083707369718739,0.514018691588785,1.2064577920728887,-0.7732887045559492,1.14819134339741,-0.14048121668225563,-1.2487324082715268,0.2121484848473294,0.5811817812897427,16.297518419620005,0.0,760
default,equal,21,0.3,0.010033623965182148,0.22434154763396807,0.010648548854165555,0.016293393514453497,-0.3693977825728342,0.027162112060604527,0.514018691588785,1.2280039156371598,-0.7943279656292418,1.1297702480248124,-0.14508733807139043,-1.301622194972475,0.1934410110653353,0.5785553227110555,16.374147260381246,0.0,760
default,equal,29,0.3,0.011977030800844002,0.20991668237118735,0.005256539829079117,0.008237440803338653,-0.32935030249832153,0.03636562866343516,0.5272206303724928,1.050930230451564,-0.7494686396684356,1.1301970272938646,-0.1993736048185599,-2.44836340550711,0.014574530688004739,0.7863413420339898,30.321508988942558,0.0,766
default,signal_weight,29,0.3,0.006177866195766546,0.2086341473255427,-0.02350235567559058,-0.03669960279444192,-0.3352435583129466,0.01842799374536995,0.5272206303724928,1.0573067818114568,-0.7896824596957774,1.1076409982324291,-0.20434715828579375,-2.5278031808550545,0.011678366046214306,0.7822893123857011,30.38599998359802,0.0,766
shadow_sell,signal_weight,29,0.3,0.00022288031244621642,0.2019228206754781,-0.060375072520968756,-0.09367514998333165,-0.33197404645847406,0.0006713787262104421,0.5151515151515151,1.0912907042773081,-0.8202245196032372,1.0797980141348769,-0.20443933317330087,-2.6003622610185633,0.009492508174561154,0.7540669121471184,30.11693464001087,0.0,766
shadow_sell,equal,29,0.3,-0.005073897695807794,0.1892668140657656,-0.10545943830231856,-0.16264431531503767,-0.315102470431893,-0.01610237358295951,0.5151515151515151,1.0359354879559322,-0.84537907791513,1.0477172319252002,-0.1877881098519813,-2.368658511802829,0.01810058802502823,0.6582834845081018,26.072267593695756,0.0,766
shadow_sell,signal_weight,21,0.3,-0.050736303932234605,0.2352982387349092,-0.2432944131643241,-0.376133543960295,-0.36147212313706756,-0.14036021226731163,0.5119617224880383,1.1714659498037847,-1.036133992605856,0.8678956305844838,-0.23222197091737898,-2.104333022376552,0.03568076093360584,0.6965396838812475,19.982403682765984,0.0,754
shadow_sell,equal,21,0.3,-0.057408980515066266,0.2195774745740211,-0.3088418136859069,-0.47234186979937043,-0.33296800850638075,-0.17241590497714773,0.5119617224880383,1.1634448497066063,-1.075946713530253,0.8108074870050224,-0.20893246835540372,-1.904883538120921,0.05717645047811093,0.5617637943911188,16.214626124195743,0.0,754
